# 
# *****************************************************************
# *                                                               *
# *    Copyright (c) Digital Equipment Corporation, 1991, 1994    *
# *                                                               *
# *   All Rights Reserved.  Unpublished rights  reserved  under   *
# *   the copyright laws of the United States.                    *
# *                                                               *
# *   The software contained on this media  is  proprietary  to   *
# *   and  embodies  the  confidential  technology  of  Digital   *
# *   Equipment Corporation.  Possession, use,  duplication  or   *
# *   dissemination of the software and media is authorized only  *
# *   pursuant to a valid written license from Digital Equipment  *
# *   Corporation.                                                *
# *                                                               *
# *   RESTRICTED RIGHTS LEGEND   Use, duplication, or disclosure  *
# *   by the U.S. Government is subject to restrictions  as  set  *
# *   forth in Subparagraph (c)(1)(ii)  of  DFARS  252.227-7013,  *
# *   or  in  FAR 52.227-19, as applicable.                       *
# *                                                               *
# *****************************************************************
#
# HISTORY
# 
# @(#)$RCSfile: .mrg..files.dat,v $ $Revision: 1.1.9.21 $ (DEC) $Date: 1993/12/22 15:55:09 $
# 
#########################################################################
# kernel/conf/files/.mrg..files.dat - Sterling Release			#
#									#
# General Rules -							#
#									#
#	Comments must begin with a '#' character			#
#									#
#	Blank lines are legal						#
#									#
#									#
# Format -								#
#									#
#	KEY ENTRYID ENTRY						#
#									#
#	KEY: This tells the merge script whether you want to delete "D" #
#	     or Update "U" a files file entry.				#
#									#
#	     D - Use this KEY to delete an entry that is no longer	#
#		 valid.							#
#									#
#	     U - Use this KEY to add a new entry. 			#
#									#
#	NOTE:  To modify an existing entry, first, use D to delete	#
#	       the old entry, then use U to add the new entry.		#
#									#
#########################################################################
D arch/alpha/kdebug.c		standard Binary
U arch/alpha/hal/io_access.c	standard Binary
U arch/alpha/hal/kn121.c		optional cpu DEC2000_300 device-driver Binary
U arch/alpha/hal/dec2000_cons.c	optional cpu DEC2000_300 device-driver Binary
U arch/alpha/hal/isp.c		optional cpu DEC2000_300 device-driver Binary
D arch/alpha/hal/dma_direct_map.c	optional cpu DEC2000_300 Binary
U arch/alpha/hal/dma_direct_map.c	optional cpu DEC2000_300 DEC3000_300 DEC3000_500 Binary
U arch/alpha/hal/mc146818clock.c	optional cpu DEC2000_300 device-driver Binary
U arch/alpha/hal/82357_pic.c	optional cpu DEC2000_300 device-driver Binary
U arch/alpha/kdebug_ace_cons.c	optional kdebug Binary
U arch/alpha/kdebug_misc.c	optional kdebug Binary
U arch/alpha/kdebug_cobra_cons.c	optional kdebug Binary
U arch/alpha/kdebug_gbus_cons.c	optional kdebug Binary
U arch/alpha/kdebug_scc_cons.c	optional kdebug Binary
U arch/alpha/devz.c               optional not sas Binary
D io/cam/cam_config.c		optional asc or sii or siop or skz or kzq device-driver Notbinary
D io/cam/cam_debug.c		optional asc or sii or siop or skz or kzq device-driver Notbinary
D io/cam/cam_disk.c		optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/cam_logger.c		optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/cam_special.c		optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/cam_tape.c		optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/ccfg.c			optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/pdrv_common.c		optional asc or sii or siop or skz device-driver Binary
U io/cam/cam_config.c		optional asc or sii or siop or aha or skz or kzq device-driver Notbinary
U io/cam/cam_debug.c		optional asc or sii or siop or aha or skz or kzq device-driver Notbinary
U io/cam/cam_disk.c		optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/cam_logger.c		optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/cam_special.c		optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/cam_tape.c		optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/ccfg.c			optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/pdrv_common.c		optional asc or sii or siop or aha or skz device-driver Binary
